"WRID","sort_spec","chunk","group","name","name_spec","bytes","type","type_spec","spec","condition","desc"
"WRID>RIFF-WAVE>id","","RIFF-WAVE","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = RIFF",""
"WRID>RIFF-WAVE>size","","RIFF-WAVE","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>form_type","","RIFF-WAVE","","form_type","formType","4","u8[4]","FOURCC","RIFF1991","form_type = WAVE",""
"WRID>RIFF-WAVE>data>id","","data","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = data",""
"WRID>RIFF-WAVE>data>size","","data","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>data>data","","data","","data","ckData","size","u8[size]","ckData[ckSize]","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-INFO>id","","LIST-INFO","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = LIST",""
"WRID>RIFF-WAVE>LIST-INFO>size","","LIST-INFO","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-INFO>list_type","","LIST-INFO","","list_type","(text)","4","u8[4]","FOURCC","RIFF1991","list_type = INFO",""
"WRID>RIFF-WAVE>LIST-INFO>IARL>id","WRID>RIFF-WAVE>LIST-INFO>1.1","IARL","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = IARL",""
"WRID>RIFF-WAVE>LIST-INFO>IARL>size","WRID>RIFF-WAVE>LIST-INFO>1.2","IARL","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-INFO>IARL>text","WRID>RIFF-WAVE>LIST-INFO>1.3","IARL","","text","(text)","size","ZSTR","ZSTR","RIFF1991","","Archival Location. Indicates where the subject of the file is archived."
"WRID>RIFF-WAVE>LIST-INFO>IGNR>id","WRID>RIFF-WAVE>LIST-INFO>10.1","IGNR","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = IGNR",""
"WRID>RIFF-WAVE>LIST-INFO>IGNR>size","WRID>RIFF-WAVE>LIST-INFO>10.2","IGNR","","size","ckSize","4","u32","DWORD","RIFF1991","",""
